,ratings,reviews
15,1,"For the better part of an entire year, I was hyped up to this game.  The announcement that there would be no Knockouts was the only thing that soured me a bit.

Then I read a Midway Q&A session on IGN.com regarding the game, and almost every response Midway gave either consisted of ""No, this game will not feature that"" or ""We hope to include that in the next game!""

Missing a lot of things though it may be, Midway showed just how much fail is in this product when they spend an opportunity to hype it up by basically crapping all over it and all but telling us ""don't buy this yet---it's only the beta version of the sequel coming in four or ten years~!""

Then the game itself.  The graphics are good, but what game isn't these days?  You can't give a game a pretty rating just for graphics alone---imagine how Final Fantasy: Spirits Unleashed would have been received if the graphics of the movie were considered a part of how good it was.

Even then, the graphics look nowhere near as good as the now-apparent pre-rendered screenshots plastered across the internet.  I absolutely could not tell that James Storm character was supposed to be James Storm, while for the most part, all the wrestlers look how they're supposed to, but don't break the barrier of shock and awe.  They are more in the league of Smackdown vs Raw 2007 or 2008.

That said, compensation appears to be made for the above-average graphics, by immense cuts in game content.  25 superstars is no real big deal.  When all those superstars have the exact same generic taunts and the same puddle of moves to pick from, THAT is a big deal.  A bad big deal.

The controls are a sloppy and contorted mess.  Arguably this could be from a several year-long accustomment to the controls in WWE games from Day of Reckoning to Smackdown vs Raw 2008, but either way, it's simply not very functional for the R button to be for running, and for the strong-grapple button to be on the opposite side of the controller from the base grapple button itself.

The controls are designed in such a way that it will take a very long time to grow accustomed to them, much less to master them.  Maybe this is due to my clumsiness and retard-fingers, but even I was able to get over the switch of L button for blocking strikes, R button for blocking grapples in SvR07 after a transition from WWE Day of Reckoning 2 (where it was the other way around) within a short while of gameplay.  As such, when you are thrust into the ring early on, your only chance of winning is the basic punch/kick/basic grapple until you can figure out how to do more complex maneuvers without the computer utterly destroying you while you stand around stupidly.

The moves actions in-game are indeed fluid, but only for as long as the opponent is standing.  As soon as they are knocked down and fail to immediately come back up, the fluidity is broken.  As far as I can tell, there is absolutely no way to pick your opponent up when they've fallen---only to stomp or punch them, drop elbows or whatever other thing, or do ground grapples involving the exact same arm locks and such.

The ""fluid"" motions as well must be fluid if you consider just how slowly they come about.  The controls do not react immediately, and once you've set about trying to perform a punch or a grapple, there is no going back.  As such, if you're lightning-fast on your button mashing like I am, you'll be angered to no end by how sloppily your character tries a meek little punch, only for the enemy to back away quickly, then come right back up and hit you while you're still recovering from throwing that first punch.

Midway apparently HAS reason to brag about how ""fluid"" their grapples are as well---there are only about two or three of them the player can perform!  Compared to the dozen or so that can be done in the WWE equivalent, the game pretty much only needs one button and two directions on the analog stick to fluidly perform the exact same suplex or jawbreaker or hurricanrana quickly and efficiently.

Counters are apparently the only area where the uniqueness of TNA's in-ring talent is on display.  Amazingly, the moves are all very ordinary and basic, whereas the counters show off some of the most insane, unique, and innovative maneuvers TNA wrestlers can do.  Counters.

The sound is terrible.  Obviously something like sound isn't really of big importance to a game that does it right, but in this game they've really done something wrong for sound to get mention.  The audience has only three or four noises they make---and they are NOISES, because this crowd never quiets down or gets louder---the generic white noise of screaming, a gasping sound effect used millions of times in various movies and TV shows for the past hundred years, and slightly noisier, but no more louder, cheering.  The punch/kick sounds are comical in nature, sounding like something you'd hear in Street Fighter II or Final Fight for SNES.

I COULD have given the game a two or even three star rating if not for the crux of the massive bag of issues this game is; the fact that the opponent will seemingly always be better than you no matter what, always.

I started the game playing as Chris Sabin vs Shark Boy, and in said match, I was very new and experienced.  I tried a balanced workout of punches and kicks first, followed by experimenting with grapples, and trying to figure out how to do other grapple moves.  Not only did I utterly fail to do anything but snap suplexes, but because I was kicking the crap out of Shark Boy with only the most basic of moves, he easily countered some of them, built up a full iMPACT! bar, and performed his finisher and pinned me for three.

The next match I was AJ Styles vs Rhino.  This bout went even shorter, as despite the fact that we both battled each other equally, my pins barely made two, whereas Rhino's one pin got me at 3 in less than 3 minutes.

Then I go to story mode, where the most damning thing happens:  I spend a good 15 minutes utterly destroying this obese clown named ""Benny"" or some generic name like that, with 80% of all strikes and moves in this match being done by me on him, and I grab him up in my finisher and pin him, and he kicks out.  After a more sustained and concentrated beating, not only does he kick out AGAIN, but he manages to pull off his finisher on ME and PIN ME FOR THREE!  After getting in almost NO offense, he somehow BEATS ME!

This happened THREE TIMES IN A ROW!  After finally beating him somehow, I move on, and THE SAME THING HAPPENS!  I squash my next opponent, and yet they perform enough moves on me (seven moves on me out of 6000 on him is still enough to get you a full iMPACT! bar) to perform his finisher and beat me.

UPDATE: This only seems to get worse as you progress in storyline, as bigger-name stars are even bigger jerkasses to beat, as in one scenario where I LITERALLY squashed James Storm (as in, got over 90% of the matches' offensive moves placed on him), and just because he managed to counter 10% of my moves, HE is able to get a finisher, hit it on me, and pin me for three.  Trying to break out of a pin by wiggling the control stick is such a frantic ordeal, I've cut the skin of my palm just trying to keep an opponent down for a pin by wiggling the control stick.  Or rather, smashing it back and forth wildly.

This is pure BS.  When you're pinned, the game gives you a motion of the analog stick wiggling back and forth in order to break the pin.  The only problem is it doesn't tell you WHICH analog stick this is, and ""wiggling it gently"" is as effective as not wiggling it at all---you have to ram it back and forth as fast as you can.

And so, Midway releases to us a Beta test of a future release.  And it is a great many things; and many of those things are what was once just a verb, but has now become a noun as well: Fail."
16,1,"DOnt get me wrong , i loved all the CIV games so far .
But this one has nothing new expect the moments and the stacking .

The rest is only for the worse , it keep stuck and hang .
Crash , maps get crazy all of the sudden ...

Not a fun game play , they removed the religion ...

I played it for 3 days and will probably let it gather dust ...

waste of 40$ ..... Could have buy some beer and be more happy that way"
17,1,it wouldnt play on my older desktop and it won't play on my new laptop so you must have to have a super computer to play the game.
18,1,too graphic intense and I'm too cheap to go buy a $200 video card and a Quad Core cuz you need it!
19,1,"Game is not fun, and the package did not come as described"
20,1,Stupid
21,1,"I can't speak for the PlayStation 2 or the XBOX versions of this game, but as for the PC version which I've experienced, there is no reason to buy it whatsoever. The game suffers from one fatal flaw, you cannot adjust the controls for this game. When I plug in my Logitech F310 Gamepad, the controls are preset and cannot be changed. The same problem exists with the Scarface game, on PC you cannot adjust the controls to your preferences after plugging in a Logitech Gamepad. I don't know why. You can adjust the controls for all of the Grand Theft Auto games on the PC. But The Matrix Path of Neo and Scarface, you cannot adjust the controls. I am completely unwilling to sit through more than 2 hours of either of these games if I can't adjust the controls to my preferences. I can't have any fun shooting, running, driving, or performing combo attack moves with the preset controls on either game. The controls are awkward! They don't feel right. After just 2 days of owning it, I donated this game to charity and I've never looked back."
22,1,"I've played all the other titles of this series, well the ps2/1 versions anyway, and I've enjoyed all those, but this one is hard to enjoy. I don't mind a bit of a challenge, but damn, this is beyond that.
The enemies take many, many hits, you feel as if you're in a boss battle with each one.
The lack of supplies doesn't help much, neither does the wonky combat controls and whatnot.
I've been giving it a chance, but, thinking of trading it in to a place near here."
23,1,"Coulda-Shoulda been the game of the year for PC instead a huge disappointment from IW.
I've bought and supported Infinity Ward since Call of Duty 1 and can't believe they did this.
Single player was 5 Star but Multiplayer (the reason you buy the game) is a 1 Star- if that.

It's like xbox only worse and the host always has the advantage if you can stand to sit through the matchmaking, host quitting and the rest of the P2P problems.

I can't believe they did this to us.

One word: greed"
24,1,"THPS2 was fun. The levels made sense, the physics were completely unreal (fun) and the locations had some sort of skatepark or something interesting going on. The locations in THPS3 are lacking. A few are fun, but the majority are chaotic and seem to be designed purely with aggravation in mind. The airport is a great example. The physics have changed for the worse. You feel like your controlling a big sack of lead, and you will fall constantly. The controls are not configurable, and the setup for doing tricks is more a game of hitting things in the correct sequence than any sort of creative use of the terrain. On the technical side, this is one of two PS2 games I've seen crash. Shipping a game that crashes is totally unacceptable, but this level of workmanship seems to be a major theme in THPS3. Overall I'm pretty annoyed with my purchase, and would recommend staying away from this title. Don't even waste your money on a rental. Hopefully some developer as talented as the SSX people will come out with a good skater."
25,1,"just ""Meh"".  Despite the fact that the cursor flies across the screen at light speed even on it's lowest settings, the game is virtually impossible to play without getting ticked off.  So whatever.  1 star!"
26,1,"In fact, it is very disappointing to series going down hill. Nothing innovative anymore. I remember original Halo was such a great name, I stay all night finish it. Now it is nothing but garbage. COD MW 1&2 make this gameplay like a childplay. Rent it if you want."
27,1,"Piece of trash.

Keeps disconnecting my controller.

Bought el-cheapo no-name USB Bluetooth dongle, it works 100% of the time, no disconnections.

Complete let down and cannot recommend."
28,1,As you can tell by the last 20 or so posts this seller is selling counterfeit Wii Nunchuks. which are made every more poorly than unapproved 3rd party accessories. besides the retail price on a Nintendo made one is $19.99 so why would you pay more ? go down to your local store and buy a legit one for less....!
29,1,"Let me start off by saying, I really thought this game had potential but in the end it looks like just another half hearted attempt...

Ok, let us begin with the good. You can play as any character from the series  in any of the games! Good graphics. Create a fighter mode.

The bad- Fighting is absolutely terrible, even worse then the previous games. Now it feels like one of the old Tekken rip offs from the arcades that was only a quarter to play. You can have your weapon out and use it the whole round. You can be knocked into hot lava and killed after 1 hit!

There are no specific fatalities at all, the characters have lost their sense of identity. The value and presence of projectiles is next to nil, Shall I continue?

Overall, this game looks and smells like a weak cash grab from a strugging franchise. You will be happier and still $40 wealthier playing UMK3 from the PS1!@"
30,1,"I think we have all become so used to wireless controllers, when I saw this on Vine, I almost laughed out loud.  I mean really, a wired controller seems so OLD I thought.  But then I started reading the reviews and thought, ""Hey, I might need to check this out"".

I'm glad I did.

I must say, that the standard Xbox One controllers are very nice.  However, that glowing orb in the middle of the controller has always bothered me when I play in near total darkness.  So I also thought, this controller with lights would be the same way.  Not so.

The fact that you can cycle through colors, schemes and see the innerworkins of the controller make this a great addition to your console, regardless of whether it is wired or not.  It feels steady and well built in your hand and has held up to even the most brutal online matches I've put it through.  While I will say there is no perceptible increase in advantage over wireless, this thing just looks amazing so I will keep using it.

EDIT:  December 12, 2015

Had to reduce it to 1 star.  Controller lasted less than 3 weeks before something has gone awry with the L-Stick making it unusable."
31,1,To the fanboys of this game you are all in denial because you people don't know what a great wrestling is game this one is not it because the ai in season mode is very cheap and I had play this game on the easiet setting and still lossed I picked triple hhh kevin nash john cena goldberg the undertaker brock lesnar and still didnot win in season mode the intro is the worst intro of any wrestling game ever the legends in this game donot have any music at all the black and purple undertaker doesn't lod don't hillbilly jim doesn't the million dollar man ted dibiase don't either and to me that is just very stupid and it doesnot make any sense what so ever their are much better wrestling games out there than this overrated piece of garbage wcw nwo revenge wcw vs nwo world tour wrestlemania 2000 wwf no mercy smackdown shut your mouth smackdown 1 and 2 smackdown vs raw 2006 and 2010 wwf royal rumble genesis snes wwf raw genesis snes wrestlemania the arcade game genesis playstation sega saturn are all alot better than smackdown here comes the pain anyday of the week.
32,1,Just purchased this thing a few hours ago. I have yet to see it work. It's going back to the store.
33,1,"Was waiting for this mouse anxiously because my Razer Taipan was spoilt and Razer ask me to pay for shipping back to USA  in order to RMA. (I live on the other side of the world in Singapore) So I plugged in this mouse and the cursor doesn't move at all although the left and right mouse buttons were working fine. Took me 20 minutes of reinstalling synapse 2.0 and 3.0 and uninstall the mouse and repeat everything all over again to realise that the mouse does not work on wooden surfaces.

I would understand if the mouse doesn't work on glass surface but wooden surface?!?! This is really a bummer and I probably have to pay expensive shipping fees to get my refund which is totally not worth it. I have used Razer mouses since 2007 with more than 5 different mouses CopperHead, Diamondback, Lachesis, Taipan, Taipan (again), DeathAdder(this), but this will be my LAST razer mouse for sure. Razer's CEO may be a Singaporean but he disappoints me with such sub-par products and lousy aftersales support. I'm going Logitech or other brands from now on."
34,1,Never worked right
35,1,it says it is in good condition but lots of scratches does not even work never played it  don't buy
36,1,"If you like hackers and lag, this is a great game. I have owned it for the last 24 hours. I bought it direct from Origin. It took about an hour to download with my 12M connection. About average for modern games. Physics were better and drivability improved over the last ""Most Wanted"" offering. After getting through the tutorial levels I settled in for about 10 hours of non-stop play. Here are my observations. First, you play online exclusively. This is beyond the ""persistent authentication"" of Steam and Origin, you simply must have a good broadband connection with good ping or you won't be able to play. Next, any time another human player enters your bubble of activity, prepare for massive lag with the player warping all around you madly. If you are a cop, forget trying to wreck someone who is never consistently in your game reality. Behind you, beside, in front blinking all around unpredictably. This is absolutely unplayable. The very nastiest part of this game is hackers. Nothing like having a guy warping all around you madly zapping you with pursuit tech over and over. No cool down and no chance to escape while you are killed like a helpless baby. This game is obviously of BETA quality. I wanted it to be great but sadly... it sucks.
 This is very important. EA's Origin Great Game Guarantee? YES. They will refund your money within 24hrs of activation. EA support appears to be much improved over past experiences."
37,1,"The pedals seem well made, and are wide enough and far enough apart for me. The assembly doesn't slide on a hardwood floor, too.

They are not plug and play. You have to go to the Thrustmaster website and download a driver. The two killer items are: high breakout forces from the detent, and the pedals move the throttle, not the rudder. I'm sure, with a paid version of FSUIPC I could reprogram the functionality, but high detent breakout forces don't make that worthwhile.

I have an ancient set of CH Products rudder pedals. They are ugly, and slip on hardware floors, but the detent breakout force is much less than these pedal's, and more importantly, they move the airplane's rudder.

I'd send them back, but it's way past the end of the return period."
38,1,"Sorry all but I am about to step on a ton of Nintendo lovers with this brief review about the travesty known as Metroid Prime. If it weren't for the shoddy control and ridiculous save points, I would be sharing the opinions of every reviewer out there and say this game is a 5 out of 5 or a 9.5 out of 10 like IGN. Unfortunately, cool graphics, a great map, wonderful environments, super smooth 60FPS and a compelling story does not make up for the fact that you will be fighting the godawful controls all the way through.

Admittedly , this game is from 2002--which would be the infancy of first person shooters on Consoles. This hardly excuses not using the damn second stick on the Gamecube controller to make this game livable!! Sure, the left trigger locks on which is great to straff and blast through enemies. The problem comes when you have to shoot at things which the game does not consider enemies--like exploding mushrooms, or that rapidly respawning killer grass, or the hives where those big flying bugs come out of. AIming is nearly impossible!! You hold the right trigger and try to move the left stick(the only stick used for control in this game) praying beyond everything that the damn reticule will stay in one place. YOU see the cursor does not stop when you release pressure on the stick!! So you have to do minute motions with the stick and basically fire blindly until random chance has the reticule go over the item you want to shoot at.

All of these things were bearable for the first 5 or 6 hours of the game(I explored every nook and cranny I was loving the game so much) The first few bosses were not too bad and then I got to a big bug boss who would recharge with these mirrors. Here is the method. You shoot this boss(for some reason the lock on was very shoddy for this boss) until he gets kind of winded. You then have to shoot a little red spot on the base of the mirror(Sorry for the spoilers but if you want to play this game, you are probably not going to want to read this review anyway right?) To destroy the mirror you have to hold the fire button to do a power shot at it. But the aim is so crappy that you miss half the time!! The first boss of the game was real easy and you could lock and jump sideways. Not sure why but that method did not work with this boss and he absolutely raped me time and time again.

To make matters ever worse, this game uses Save spots. This would be okay if the damn save spots were right next to the boss. NOOOOO. YOu respawn way the hell away from the boss and have to do a 5 minute platforming section to get back to him. Why do Japanese games not believe the the checkpoint system? Please tell me why??????

Uggh. I think I am just too used to modern games which are a lot more forgiving. So far my experience with the WII has been pretty bad. Should have just stuck with my PS3..."
39,1,"I was very excited for this game. Unfortunately it is not even close to what I had hoped it to be. I wanted more of Wii Sports. This game isn't even in the same category.

The controls are NOT intuitive. For some of the games the controls don't respond well. In particular the archery game was one where I had to shake the wiimote to get the target to be on (you are not supposed to have to shake it). Soccer was confusing. Skiing was o.k. It was VERY short. Beach Volleyball was so-so. Kart racing (of course) is not Mario Kart.

You cannot play with your Mii (which is REALLY a let down!)

My daughter did play a little when I finished. She remarked that most of the games were very boring. In fact that's a good way to put it. BORING! There is also NO real exercise value to this like you get with Wii Sports--this is one that is absolutely not designed to get you up and moving even a little bit. The only exercise you might get is a little bit of thumb workout. Disappointing.

Hopefully it will have some trade in value since its brand new. Otherwise I'm out $30 (I wrote this review so you won't be too!)"
40,1,"It was not a good remake and I'd rather play the original then the remake. Overall, I rate this game 1/5."
41,1,"Seems like this game was deliberately programmed to infuriate me. It's one of those games where you get your butt kicked while you're learning, a sensation I've never treasured. How would you like if I sat you down to a board game you didn't know -- you ask, ""How is it played?"" and I respond, ""Uh, you'll more or less get the idea once I start attacking you!"" That's exactly how this game works. I hate losing while I'm learning.

Anyhow, here's some other things:

1. The way this game was marketed promised a lot of good ol' hack-and-slash action. Really, though, the lion's share of your time is spent doing timed puzzles, moving blocks around, pulling levers, turning cranks, etc. Lord, if I haven't had an a**full of these! I solve enough g.d. conundrums every day at work: I don't need a video game testing my intelligence. I want to be a guy with huge muscles who runs around slaying monsters with his awesome sword! Is that too much to ask!?

2. The actual adventures your guy goes through get mind-numbingly repetitive, even if you're playing through the game for just the first time. Nearly every encounter is based on the ""cage match"" paradigm: your character trips some sort of switch, whereupon some sort of of walls come up, and some sort of monsters continue spawning until you manage to trip another sort of switch, whereupon the walls come down and you are allowed to continue. Yawn.

3. You cannot control the camera at all, as you can in many games of this type. This is a shame, since there are some good visuals along the way. This drawback gets pretty infuriating in some of the puzzles where you need to move the camera around a bit to get a good sense of what you're looking at. Heck, even when it's not a question of a puzzle, the camera is awfully dumb about framing relevant elements. As a result of this, the game has a very restricted, cramped feel, since what you get depends not on what your character needs to see or logically would see (e.g., the ledges he's jumping from and to), but rather what the camera wants to do to best showcase the background art.

4. The ""easy mode"" really isn't . . . the monsters are easier to kill, but since nothing has been done about the timed puzzles and jumping challenges (i.e, the spike room, flying through the tunnels), they still manage to infuriate everybody.

5. The actual combat is exceedingly dull, although it may not look like it to somebody watching the game. (I frequently put this game on pause to get my algebra homework done).  Although there are a plethora of combos available, nearly all monsters -- including all boss monsters -- can be safely dispatched by simply pressing the same button over and over again.

6. This game has no business forcing you to go through a whole bunch of jumping and swinging challenges since its graphics and shading aren't good enough to tell where your character is (e.g., remember jumping behind Athena's bed?). Most of the time this is because the lighting source (and therefore the shadows) are illogical, so it's difficult to gauge distance and height. Consequently, success in the game's many jumping puzzles boils down to just a matter of luck and memorization, not skill. Also, the logic of the distances you can leap to seems to change depending on the camera angle: sometimes, you can leap vast chasms; other times, you can barely hop over a puddle.

7. I hate watching the same cutscenes over and over again. Why doesn't this game let you skip them?

8. The storyline is preposterous. The Olympians are immortal! How can they be killed? And how can you kill people who are already in Hades? And does it make sense that Kratos would be making so much headway on overthrowing the gods of Olympus when he even can't jump over an effin' puddle!? The gods woulda just teamed up and squashed him like a bug!

9. The weapons you get have some grandiose names (e.g., ""Bow of Apollo,"" ""Claws of Hades""), but they're quite ineffectual, even against garden-variety zombies. If you're fighting a run-of-the-mill skeleton and it takes like 50 hits to kill him, it's time for a new weapon. (I love how the much-vaunted ""Bow of Apollo"" has about as much oomph as a spitwad.)

10. Curse you, Yu Suzuki, or whoever invented QTEs (Quick Time Events). I hate them. (These are the times when it's basically a cut scene but you have to press the X button or the O button at the right time.) What is this, the fourth grade? Are we learning to identify shapes this week? Another problem with these is that you can't focus on the cool graphics at all, since you're waiting for the next prompt with gimlet eyes. QTEs need to be outlawed!

11. This game is far too violent for my taste!  It just got to the point where you didn't want to enter QTEs when an opponent was on its last legs since you know the visuals are going to be gross. If this had been a movie, it probably would have received an X for violence.  I mean, you're graphically pulling folk's heads off and stuff  Couldn't they have at least included a ""BLOOD OFF"" option, like they did in Assassin's Creed II?

12.  Game is not kind to you if you haven't played the first two installments.  You'll be baffled as to what's going on until at least halfway through the game."
42,1,"The game didn't work on my Wii U, it kept saying an error has occurred, I had to take out the disc and unplug the Wii U and plug it back in, WHAT A WASTE OF MONEY!!"
